Card Name,Fair Value,Trend,Top 3 Prices,Median (All),Min,Max,Num Sales
2024 Upper Deck PWHL 1st Edition - [Base] #61 - Young Guns - Taylor Heise [PSA 8 NM‑MT],$58.00,down,$58.0 | $74.1,$66.05,$58.00,$74.10,2
2024-25 O-Pee-Chee Platinum - [Base] - Arctic Freeze #263 - Marquee Rookies - Macklin Celebrini #1/99,$824.61,no data,$824.61,$824.61,$824.61,$824.61,1
2025-26 Upper Deck Series 1 - [Base] #201 - Young Guns - Artyom Levshunov,$19.05,up,$19.05 | $16.5 | $11.17,$12.41,$3.34,$27.93,37
2025-26 Upper Deck Series 1 - [Base] #202 - Young Guns - Gabe Perreault,$7.50,stable,$7.5 | $11.11 | $3.85,$4.08,$2.00,$12.41,34
2023-24 O-Pee-Chee Platinum - Photo Driven - Red Pixel #PD-6 - Auston Matthews [PSA 10 GEM MT] #75/85,$5.00,no data,,$5.00,$5.00,$5.00,0
2025-26 Upper Deck Series 1 - [Base] #226 - Young Guns - Dalibor Dvorsky,$16.50,up,$16.5 | $11.11 | $3.85,$7.33,$2.89,$20.05,43
"2025 Topps Chrome Sapphire Edition Spongebob Squarepants 25th Anniversary - [Base] #89 - ""I Need It!""",$10.67,stable,$10.6 | $13.77 | $10.67,$11.67,$4.99,$30.39,39
2024-25 Upper Deck Series 1 - [Base] #244 - Young Guns - Logan Stankoven,$3.49,down,$3.49 | $15.49 | $13.23,$6.97,$2.75,$15.49,43
2023-24 SPx - [Base] - Purple Parallax #134 - Rookies - Matthew Knies [PSA 9 MINT] #85/149,$5.00,no data,,$5.00,$5.00,$5.00,0
"2025 Topps Chrome Sapphire Edition Spongebob Squarepants 25th Anniversary - [Base] #67 - ""No This is Patrick""",$10.81,stable,$10.64 | $13.74 | $10.81,$11.66,$4.99,$33.20,45
2025-26 Upper Deck Series 1 - Bootlegs #BL-18 - Artyom Levshunov,$249.82,up,$249.82 | $112.05 | $220.43,$220.43,$112.05,$249.82,3
2024-25 Upper Deck Series 2 - Young Guns Renewed #201.3 - Connor McDavid [PSA 9 MINT],$5.00,no data,,$5.00,$5.00,$5.00,0
2024-25 Upper Deck Series 2 - UD Canvas #C161 - Joseph Woll [PSA 10 GEM MT],$5.00,no data,,$5.00,$5.00,$5.00,0
2025-26 Upper Deck Series 1 - [Base] - Deluxe #236 - Young Guns - Zayne Parekh #106/250,$74.00,down,$74.0 | $99.0 | $99.99,$99.50,$65.87,$194.98,8
2021 Bowman Chrome - [Base] - Blue Refractor #49 - Alejandro Kirk [PSA 9 MINT] #113/150,$5.00,no data,,$5.00,$5.00,$5.00,0
2024-25 Upper Deck Series 2 - [Base] #451 - Young Guns - Macklin Celebrini [PSA 8 NM‑MT],$375.00,up,$375.0 | $329.99 | $249.22,$207.90,$165.50,$375.00,40
2024-25 O-Pee-Chee Platinum - Rookie Autographs - Red Prism #R-LB - Lian Bichsel #21/30,$47.76,stable,$59.49 | $47.76 | $36.97,$40.84,$22.44,$98.12,25
Connor McDavid Young Guns PSA 10,$5.00,no data,,$5.00,$5.00,$5.00,0
